"1","Bangabandhu Sheikh Mujib Medical University","BSMMU","NA","1965","1965","0","47","1","https://bsmmu.edu.bd/",\N,\N
"2","Chittagong Medical University","CMU","NA","2016","2016","0","8","1","https://cmu.edu.bd/",\N,\N
"3","Rajshahi Medical University","RMU","NA","2017","2017","0","15","1","https://www.rmu.edu.bd/",\N,\N
"4","Sylhet Medical University","SMU","NA","2017","2017","0","36","1","https://www.smu.edu.bd/",\N,\N
"5","Sheikh Hasina Medical University","SHMU","NA","2020","2020","0","27","1","\\N",\N,\N
"6","Dhaka Medical College","DMC","DU","1946","1946","230","47","1","http://www.dmc.gov.bd",\N,\N
"7","Sir Salimullah Medical College","SSMC","DU","1875","1972","230","47","1","http://ssmcbd.net",\N,\N
"8","Shaheed Suhrawardy Medical College","ShSMC","DU","2006","2006","200","47","1","\\N",\N,\N
"9","Mymensingh Medical College","MMC","DU","1924","1962","230","62","1","http://mmc.gov.bd",\N,\N
"10","Chattogram Medical College","CMC","CU","1927","1957","230","8","1","http://cmc.gov.bd",\N,\N
"11","Rajshahi Medical College","RMC","RU","1954","1958","230","15","1","http://rmc.gov.bd",\N,\N
"12","Sylhet MAG Osmani Medical College","SOMC","SUST","1936","1962","230","36","1","http://magosmanimedical.com",\N,\N
"13","Sher-e-Bangla Medical College","SBMC","DU","1964","1968","230","33","1","\\N",\N,\N
"14","Rangpur Medical College","RpMC","RU","1970","1970","230","59","1","\\N",\N,\N
"15","Cumilla Medical College","CuMC","CU","1979","1992","180","1","1","\\N",\N,\N
"16","Khulna Medical College","KMC","RU","1992","1992","180","27","1","\\N",\N,\N
"17","Shaheed Ziaur Rahman Medical College","SZMC","RU","1992","1992","180","14","1","\\N",\N,\N
"18","Bangabandhu Sheikh Mujib Medical College","BSMMC","DU","1992","1992","180","52","1","\\N",\N,\N
"19","M Abdur Rahim Medical College","MARMC","RU","1992","1992","180","54","1","\\N",\N,\N
"20","Pabna Medical College","PMC","RU","2008","2008","70","13","1","\\N",\N,\N
"21","Abdul Malek Ukil Medical College","AMUMC","CU","2008","2008","70","5","1","\\N",\N,\N
"22","Coxs Bazar Medical College","CoxMC","CU","2008","2008","70","9","1","\\N",\N,\N
"23","Jashore Medical College","JMC","RU","2010","2010","70","20","1","\\N",\N,\N
"24","Satkhira Medical College","SMC","RU","2011","2011","65","21","1","\\N",\N,\N
"25","Shahid Syed Nazrul Islam Medical College","SSNIMC","DU","2011","2011","65","45","1","\\N",\N,\N
"26","Kushtia Medical College","KuMC","RU","2011","2011","65","25","1","\\N",\N,\N
"27","Sheikh Sayera Khatun Medical College","SSKMC","DU","2011","2011","65","51","1","\\N",\N,\N
"28","Shaheed Tajuddin Ahmad Medical College","STAMC","DU","2013","2013","72","41","1","\\N",\N,\N
"29","Sheikh Hasina Medical College","SHMCT","DU","2014","2014","65","44","1","\\N",\N,\N
"30","Sheikh Hasina Medical College","SHMCJ","DU","2014","2014","65","63","1","\\N",\N,\N
"31","Colonel Malek Medical College","CMMC","DU","2014","2014","75","46","1","\\N",\N,\N
"32","Shaheed M. Monsur Ali Medical College","SMMAMC","RU","2014","2014","65","12","1","\\N",\N,\N
"33","Patuakhali Medical College","PkMC","DU","2014","2014","51","31","1","\\N",\N,\N
"34","Rangamati Medical College","RmMC","CU","2014","2014","51","4","1","\\N",\N,\N
"35","Mugda Medical College","MuMC","DU","2015","2016","75","47","1","\\N",\N,\N
