id,acronym,name,bn_name,established_year,enroll,district_id,hospital_type,organization_type
1,DMC,Dhaka Medical College,ঢাকা মেডিকেল কলেজ,1946,230,47,COLLEGE,GOVERNMENT
2,SSMC,Sir Salimullah Medical College,স্যার সালিমুল্লাহ মেডিকেল কলেজ,1875,230,47,COLLEGE,GOVERNMENT
3,ShSMC,Shaheed Suhrawardy Medical College,শহীদ সোহরাওয়ার্দী মেডিকেল কলেজ,2006,200,47,COLLEGE,GOVERNMENT
4,MMC,Mymensingh Medical College,ময়মনসিংহ মেডিকেল কলেজ,1924,260,62,COLLEGE,GOVERNMENT
5,CMC,Chattogram Medical College,চট্টগ্রাম মেডিকেল কলেজ,1927,230,8,COLLEGE,GOVERNMENT
6,RMC,Rajshahi Medical College,রাজশাহী মেডিকেল কলেজ,1954,230,15,COLLEGE,GOVERNMENT
7,SOMC,Sylhet MAG Osmani Medical College,সিলেট এম.এ.জি. ওসমানী মেডিকেল কলেজ,1936,230,37,COLLEGE,GOVERNMENT
8,SBMC,Sher-e-Bangla Medical College,শেরে-বাংলা মেডিকেল কলেজ,1964,230,34,COLLEGE,GOVERNMENT
9,RpMC,Rangpur Medical College,রংপুর মেডিকেল কলেজ,1970,230,59,COLLEGE,GOVERNMENT
10,CuMC,Cumilla Medical College,কুমিল্লা মেডিকেল কলেজ,1979,180,1,COLLEGE,GOVERNMENT
11,KMC,Khulna Medical College,খুলনা মেডিকেল কলেজ,1992,180,27,COLLEGE,GOVERNMENT
12,SZMC,Shaheed Ziaur Rahman Medical College,শহীদ জিয়াউর রহমান মেডিকেল কলেজ,1992,180,14,COLLEGE,GOVERNMENT
13,BSMMC,Bangabandhu Sheikh Mujib Medical College,বঙ্গবন্ধু শেখ মুজিব মেডিকেল কলেজ,1992,180,52,COLLEGE,GOVERNMENT
14,MARMC,M Abdur Rahim Medical College,এম আব্দুর রহিম মেডিকেল কলেজ,1992,180,54,COLLEGE,GOVERNMENT
15,PMC,Pabna Medical College,পাবনা মেডিকেল কলেজ,2008,70,13,COLLEGE,GOVERNMENT
16,AMUMC,Abdul Malek Ukil Medical College,আব্দুল মালেক উকিল মেডিকেল কলেজ,2008,70,5,COLLEGE,GOVERNMENT
17,CoxMC,Cox's Bazar Medical College,কক্সবাজার মেডিকেল কলেজ,2008,70,9,COLLEGE,GOVERNMENT
18,JMC,Jashore Medical College,যশোর মেডিকেল কলেজ,2010,70,20,COLLEGE,GOVERNMENT
19,SMC,Satkhira Medical College,সাতখীরা মেডিকেল কলেজ,2011,65,21,COLLEGE,GOVERNMENT
20,SSNIMC,Shahid Syed Nazrul Islam Medical College,শহীদ সৈয়দ নজরুল ইসলাম মেডিকেল কলেজ,2011,65,45,COLLEGE,GOVERNMENT
21,KuMC,Kushtia Medical College,কুষ্টিয়া মেডিকেল কলেজ,2011,65,25,COLLEGE,GOVERNMENT
22,SSKMC,Sheikh Sayera Khatun Medical College,শেখ সায়েরা খাতুন মেডিকেল কলেজ,2011,65,51,COLLEGE,GOVERNMENT
23,STAMC,Shaheed Tajuddin Ahmad Medical College,শহীদ তাজউদ্দিন আহমদ মেডিকেল কলেজ,2013,72,41,COLLEGE,GOVERNMENT
24,SHMCT,Sheikh Hasina Medical College,শেখ হাসিনা মেডিকেল কলেজ,2014,65,44,COLLEGE,GOVERNMENT
25,SHMCJ,Sheikh Hasina Medical College,শেখ হাসিনা মেডিকেল কলেজ,2014,65,63,COLLEGE,GOVERNMENT
26,CMMC,Colonel Malek Medical College,কর্নেল মালেক মেডিকেল কলেজ,2014,75,46,COLLEGE,GOVERNMENT
27,SMMAMC,Shaheed M. Monsur Ali Medical College,শহীদ এম মনসুর আলী মেডিকেল কলেজ,2014,65,12,COLLEGE,GOVERNMENT
28,PkMC,Patuakhali Medical College,পটুয়াখালী মেডিকেল কলেজ,2014,51,31,COLLEGE,GOVERNMENT
29,RmMC,Rangamati Medical College,রাঙ্গামাটি মেডিকেল কলেজ,2014,51,32,COLLEGE,GOVERNMENT
30,MuMC,Mugda Medical College,মুগদা মেডিকেল কলেজ,2015,75,47,COLLEGE,GOVERNMENT
31,SHMCH,"Sheikh Hasina Medical College, Habiganj","শেখ হাসিনা মেডিকেল কলেজ, হবিগঞ্জ",2018,51,38,COLLEGE,GOVERNMENT
32,NMC,"Netrokona Medical College, Netrokona","নেত্রকোণা মেডিকেল কলেজ, নেত্রকোণা",2018,50,64,COLLEGE,GOVERNMENT
33,NpMC,Nilphamari Medical College,নীলফামারী মেডিকেল কলেজ,2018,50,56,COLLEGE,GOVERNMENT
34,MaMC,Magura Medical College,মাগুরা মেডিকেল কলেজ,2018,50,26,COLLEGE,GOVERNMENT
35,NaMC,Naogaon Medical College,নওগাঁ মেডিকেল কলেজ,2018,50,19,COLLEGE,GOVERNMENT
36,ChMC,Chandpur Medical College,চাঁদপুর মেডিকেল কলেজ,2018,50,6,COLLEGE,GOVERNMENT
